id,fecha,provincia,zona_prov,genero,edad,maximo_estudio,espacio_identificado,posibilidad_votar,opinion_gestion_alberto,opinion_gestion_kicillof,opinion_tolosapaz,opinion_manes,opinion_santilli,posibilidad_voto_tolosapaz,posibilidad_voto_santilli,posibilidad_voto_manes,intencion_voto_2021,intencion_voto_2021_otros,voto_emitido_2019,analisis_temporal,peso
6189,6/9/2021 17:27,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,70,Superior,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,0.0,1.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6190,6/9/2021 17:28,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,44,Superior,Los libertarios,SEGURAMENTE iré a votar,-2,-2,-2.0,2.0,0.0,-1.0,0.0,2.0,Juntos: Diego Santilli,,Despertar: José Luis Espert,sem_2_(09/04-09/10),1
6191,6/9/2021 17:26,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,52,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,0.0,2.0,0.0,0.0,0.0,2.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6192,6/9/2021 17:24,Buenos Aires,Zona Norte conurbano,Mujer,32,Secundario,NINGUNO,NO ESTO SEGURO de ir a votar,-2,-2,0.0,1.0,1.0,-1.0,0.0,0.0,Juntos: Facundo Manes,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6193,6/9/2021 17:20,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,79,Secundario,El radicalismo,SEGURAMENTE iré a votar,-1,-1,0.0,2.0,1.0,-1.0,0.0,2.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6194,6/9/2021 17:23,Buenos Aires,Zona Oeste conurbano,Hombre,35,Secundario,NINGUNO,Casi seguro NO IRÉ A VOTAR,-2,-1,0.0,0.0,0.0,-1.0,-1.0,-1.0,0,,Blanco/nulo,sem_2_(09/04-09/10),1
6195,6/9/2021 17:22,Buenos Aires,Zona Oeste conurbano,Hombre,49,Secundario,La Izquierda,SEGURAMENTE iré a votar,-1,1,0.0,0.0,-1.0,-1.0,-1.0,-1.0,FIT-U: Nicolás del Caño,,Fit: Nicolás del Caño,sem_2_(09/04-09/10),1
6196,6/9/2021 17:20,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,72,Secundario,El peronismo,SEGURAMENTE iré a votar,-1,-1,0.0,1.0,1.0,-1.0,0.0,2.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6197,6/9/2021 17:16,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,63,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,0.0,2.0,2.0,-1.0,0.0,0.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6198,6/9/2021 17:12,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,53,Secundario,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6199,6/9/2021 17:14,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,50,Superior,NINGUNO,SEGURAMENTE iré a votar,-1,-1,0.0,1.0,0.0,-1.0,-1.0,2.0,Juntos: Facundo Manes,,Consenso Federal: Roberto Lavagna,sem_2_(09/04-09/10),1
6200,6/9/2021 17:13,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,42,Superior,Los libertarios,SEGURAMENTE iré a votar,-2,-2,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,Avanza Libertad: José Luis Espert,,No recuerdo,sem_2_(09/04-09/10),1
6201,6/9/2021 17:12,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,69,Secundario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6202,6/9/2021 17:12,Buenos Aires,Zona Sur conurbano,Mujer,36,Superior,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6203,6/9/2021 17:10,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,70,Primario,El peronismo,SEGURAMENTE iré a votar,1,1,0.0,0.0,,0.0,0.0,0.0,Vamos con Vos: Florencio Randazzo,,No recuerdo,sem_2_(09/04-09/10),1
6204,6/9/2021 17:09,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,49,Secundario,El peronismo,SEGURAMENTE iré a votar,-1,-1,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,Otros,Cinthia ferns,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6205,6/9/2021 17:08,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,66,Primario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6206,6/9/2021 17:09,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,50,Superior,La Izquierda,SEGURAMENTE iré a votar,2,2,2.0,-1.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6207,6/9/2021 17:08,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,57,Superior,El Kirchnerismo,SEGURAMENTE iré a votar,1,1,1.0,0.0,-1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6208,6/9/2021 17:08,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,73,Superior,El radicalismo,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6209,6/9/2021 17:08,Buenos Aires,Zona Oeste conurbano,Hombre,67,Primario,El peronismo,SEGURAMENTE iré a votar,1,1,1.0,1.0,1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6210,6/9/2021 17:07,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,55,Superior,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
